名称,市場,33業種区分,17業種区分,売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),時価総額(百万円),自己資本比率,ROE,ROA,発行済株式数
スタジオアタオ,マザーズ,小売業,小売 ,2869,461,444,303,1497,1003,127,99,12548,67,41.28,25.82,6252000
ロコンド,マザーズ,小売業,小売 ,2893,193,195,298,2189,1276,100,200,10459,58.3,26.44,15.4,5438660
ナガオカ,東証JQS,機械,機械 ,2900,-592,-594,-825,6887,1870,1253,3489,3224,27.2,-46.13,-12.2,3539200
駅探,マザーズ,情報・通信業,情報通信・サービスその他 ,2911,621,620,418,2985,2386,291,160,4960,79.9,18.78,14.5,6888800
テクノ・セブン,東証JQS,電気機器,電機・精密 ,2920,349,349,175,3811,2189,100,748,2999,57.4,8.25,4.61,14078400
ダイヤ通商,東証JQS,小売業,小売 ,2930,32,17,9,1920,653,90,606,686,34,1.32,0.47,822200
グラファイトデザイン,東証JQS,その他製品,情報通信・サービスその他 ,2946,326,362,248,5366,4232,589,389,4022,78.9,5.95,4.79,6945600
Ubicomホールディングス,マザーズ,情報・通信業,情報通信・サービスその他 ,2992,237,289,112,2229,1109,696,182,17407,49.8,12.19,5.4,5570240
トレイダーズホールディングス,東証1部,証券、商品先物取引業,金融（除く銀行） ,3004,-1248,-1424,-1433,14749,2714,4048,904,49726,18.4,-47.32,-9.27,86213736
アークコア,名古屋セ,小売業,小売 ,3018,-272,-282,-286,1406,-77,232,1299,774,13.6,-50.21,-18.32,1970000
日本フォームサービス,東証JQS,その他製品,情報通信・サービスその他 ,3043,-33,23,6,5078,3071,395,1211,1170,60.5,0.19,0.12,4020000
ユーザベース,マザーズ,情報・通信業,情報通信・サービスその他 ,3081,250,225,267,3618,2410,1303,321,43967,66.6,17.57,10.06,14462856
サイバーステップ,マザーズ,情報・通信業,情報通信・サービスその他 ,3093,372,365,285,1717,1200,1018,48,13076,69.9,27.5,18.92,5446201
モブキャスト,マザーズ,情報・通信業,情報通信・サービスその他 ,3097,-222,-234,-333,3792,2129,1749,1062,13283,56.1,-21.74,-9.86,16100008
システム ディ,東証JQS,情報・通信業,情報通信・サービスその他 ,3108,193,186,134,3782,1754,484,1230,4090,46.4,7.92,3.63,3249000
WASHハウス,マザーズ,サービス業,情報通信・サービスその他 ,3118,294,284,192,3771,2164,993,110,17733,57.4,15.35,7.09,6828200
アルメディオ,東証2部,その他製品,情報通信・サービスその他 ,3121,30,33,60,3818,2693,1138,545,2096,70.5,2.22,1.57,9702316
サムコ,東証1部,機械,機械 ,3124,-279,-214,-265,10127,8000,1663,800,7681,79,-3.24,-2.55,8042881
フライトホールディングス,東証2部,情報・通信業,情報通信・サービスその他 ,3153,590,570,407,1533,718,1205,425,8785,46.8,79.11,27.61,9456500
シベール,東証JQS,食料品,食品 ,3162,-84,-85,-82,3680,1620,488,1706,5260,44,-4.86,-2.29,1806800
アルファポリス,マザーズ,情報・通信業,情報通信・サービスその他 ,3185,174,175,101,4959,3913,863,95,5483,78.9,2.61,1.97,4843700
光ハイツ・ヴェラス,札幌ア,サービス業,情報通信・サービスその他 ,3194,248,315,198,7600,3409,686,100,1776,44.9,5.96,2.57,2089200
アクセルマーク,マザーズ,情報・通信業,情報通信・サービスその他 ,3200,-377,-385,-458,2248,988,563,680,6889,44,-37.49,-22.11,4370900
日本ラッド,東証JQS,情報・通信業,情報通信・サービスその他 ,3222,189,197,409,2529,1360,772,75,4145,53.8,36.53,16.46,4505390
小林洋行,東証1部,証券、商品先物取引業,金融（除く銀行） ,3227,-210,-353,-128,14208,8472,2000,241,2847,59.6,-1.5,-0.91,10094644
アイサンテクノロジー,東証JQS,情報・通信業,情報通信・サービスその他 ,3236,334,315,272,5648,4225,1481,116,17604,74.8,9.16,6.03,5262800
アトラ,東証1部,サービス業,情報通信・サービスその他 ,3251,293,301,148,2796,1478,556,242,5803,52.9,12.91,5.7,8712500
オリエンタルチエン工業,東証2部,機械,機械 ,3252,82,85,157,3514,1366,1066,1024,1775,38.9,12.32,4.47,14672333
エクストリーム,マザーズ,サービス業,情報通信・サービスその他 ,3289,436,433,278,2062,1136,307,352,4330,55.1,24.47,13.48,2529000
アーバンライフ,東証2部,不動産業,不動産 ,3309,470,405,332,14083,2403,3405,10250,3183,17.1,14.84,2.36,31513000
倉庫精練,東証2部,繊維製品,素材・化学 ,3314,-286,-592,-768,4537,1242,506,1701,1135,27.4,-48.23,-14.59,7140078
ワットマン,東証JQS,小売業,小売 ,3316,1,9,-84,3086,2020,500,690,1671,65.5,-4.06,-2.91,11368541
アイレックス,東証JQS,情報・通信業,情報通信・サービスその他 ,3319,243,249,258,1899,894,80,390,7649,47.1,34.19,14.84,29417400
ジェイテック,東証JQG,サービス業,情報通信・サービスその他 ,3330,123,123,89,1819,803,261,451,1852,44.1,11.88,5.52,8572400
ファンドクリエーショングループ,東証JQS,不動産業,不動産 ,3333,367,350,324,3143,2261,1169,650,4572,71.9,15.27,10.36,37475371
東邦金属,東証2部,非鉄金属,鉄鋼・非鉄 ,3338,49,54,74,4484,2154,2531,1170,4162,48,3.58,1.71,23380012
フジコー,東証2部,サービス業,情報通信・サービスその他 ,3363,228,180,83,6405,2141,629,3325,2112,33.4,4.14,1.28,4541000
日本一ソフトウェア,東証JQS,情報・通信業,情報通信・サービスその他 ,3409,366,354,136,3883,2541,525,668,8584,65.4,5.56,3.85,5076100
昴,東証JQS,サービス業,情報通信・サービスその他 ,3446,240,269,30,6823,3318,990,2096,2958,48.6,0.9,0.43,693576
アクリーティブ,東証1部,その他金融業,金融（除く銀行） ,3450,1704,1739,3088,22255,10262,1224,11170,19803,46.1,35.12,14.13,43427500
クリップコーポレーション,東証JQS,サービス業,情報通信・サービスその他 ,3453,180,184,62,6593,5838,212,250,4101,88.5,1.04,0.92,4536000
ウィルソン・ラーニング ワールドワイド,東証JQS,サービス業,情報通信・サービスその他 ,3457,307,287,147,3501,2560,722,247,1809,73.1,5.9,4.22,5154580
小田原機器,東証JQS,輸送用機器,自動車・輸送機 ,3519,161,217,132,6419,4913,319,120,1863,76.5,2.72,2.06,3079200
アストマックス,東証JQS,証券、商品先物取引業,金融（除く銀行） ,3522,209,100,2,12117,5347,2013,4585,5409,44.1,0.04,0.02,13160300
ブレインパッド,東証1部,情報・通信業,情報通信・サービスその他 ,3528,148,143,150,1898,1397,332,45,7254,73.6,11.35,8.04,6760572
テラスカイ,マザーズ,情報・通信業,情報通信・サービスその他 ,3534,202,216,128,2552,1150,456,723,20359,45.1,12.2,5.94,2859400
豊商事,東証JQS,証券、商品先物取引業,金融（除く銀行） ,3536,-470,-384,-441,48980,8974,1722,625,3150,18.3,-4.77,-0.96,8897472
きんえい,東証2部,サービス業,情報通信・サービスその他 ,3542,184,186,103,4861,1834,564,257,9211,37.7,5.73,2.08,2821000
浜井産業,東証2部,機械,機械 ,3604,-410,-444,-732,6282,563,2213,3982,3220,9,-80.75,-10.82,34624000
ユークス,東証JQS,情報・通信業,情報通信・サービスその他 ,3643,31,121,54,6697,3791,412,2150,7346,56.6,1.42,0.93,11096000
プラコー,東証JQS,機械,機械 ,3695,264,265,262,2554,689,1332,690,3394,27,44.63,10.12,27152585
ホーブ,東証JQS,水産・農林業,食品 ,3722,-183,-177,-409,821,459,421,61,764,55.9,-61.64,-40.98,762000
セレス,東証1部,情報・通信業,情報通信・サービスその他 ,3726,557,497,275,5833,4304,1380,505,13886,73.8,8.86,6.01,10797600
ギガプライズ,名古屋セ,情報・通信業,情報通信・サービスその他 ,3753,500,466,305,2689,1345,195,692,6256,50,25.13,13.81,2846400
アジアゲートホールディングス,東証JQS,建設業,建設・資材 ,3757,180,236,234,8967,7581,4010,47,4710,84.5,3.35,2.83,57442851
エスケーホーム,福岡Q,建設業,建設・資材 ,3765,195,215,147,2377,1255,256,50,1552,52.8,13.26,7.46,1263500
不二電機工業,東証1部,電気機器,電機・精密 ,3769,444,467,304,10835,10227,1087,150,9030,94.4,2.91,2.74,6669000
オリコン,東証JQS,情報・通信業,情報通信・サービスその他 ,3781,616,578,337,3116,1963,1092,740,5747,63,17.62,9.47,15123200
大盛工業,東証2部,建設業,建設・資材 ,3785,199,1,34,6851,3509,2765,1601,3311,51.2,0.97,0.5,14848429
環境管理センター,東証JQS,サービス業,情報通信・サービスその他 ,3799,182,171,144,4429,1681,858,1701,2232,38,9.54,3.3,4678270
地域新聞社,東証JQG,サービス業,情報通信・サービスその他 ,3806,-164,-163,-246,1804,605,203,400,769,33.5,-32.82,-14.31,1843800
パートナーエージェント,マザーズ,サービス業,情報通信・サービスその他 ,3812,204,212,107,2263,659,235,1157,3882,29.1,14.78,5.07,10004400
セイヒョー,東証2部,食料品,食品 ,3821,-2,23,11,2087,1142,216,330,1363,54.7,0.98,0.53,432081
アートスパークホールディングス,東証2部,情報・通信業,情報通信・サービスその他 ,3835,500,477,337,3699,2782,1056,392,8359,75.2,13.02,9.23,6784920
アイ・アールジャパンホールディングス,東証2部,サービス業,情報通信・サービスその他 ,3836,1009,1008,694,3847,3190,795,100,14867,82.9,22.08,17.72,9291955
ソフトマックス,マザーズ,情報・通信業,情報通信・サービスその他 ,3844,-145,-108,1,4446,1600,424,1507,3168,36,0.06,0.02,1986500
プレシジョン・システム・サイエンス,マザーズ,精密機器,電機・精密 ,3847,-440,-428,-555,5804,3751,3401,1449,14094,64.6,-15.54,-9.55,23066900
安江工務店,東証JQS,建設業,建設・資材 ,3887,308,312,201,1953,891,38,337,1964,45.6,25.16,10.58,1301340
SYSホールディングス,東証JQS,情報・通信業,情報通信・サービスその他 ,3899,217,215,163,2511,1588,359,336,4353,63.2,13.38,7.4,1286000
