選手名,Team,OPS,ISOP,BABIP,BB/K,PA/K,ABHR,TA,PS,RC27
高谷　裕亮,ソ,0.474,0.065,0.20863309352517986,0.41935483870967744,5.516129032258065,171.0,0.4236111111111111,0.0,1.8248305921052643
福田　秀平,ソ,0.622,0.10699999999999998,0.2878787878787879,0.34285714285714286,4.8,168.0,0.664179104477612,1.8181818181818181,4.121600095728132
高田　知季,ソ,0.5800000000000001,0.051000000000000045,0.32142857142857145,0.27906976744186046,3.627906976744186,156.0,0.5203252032520326,1.6,3.0433846153846162
本多　雄一,ソ,0.552,0.05000000000000002,0.29508196721311475,0.25,4.388888888888889,506.0,0.4921875,0.0,2.707390633041682
吉村　裕基,ソ,0.682,0.14000000000000004,0.27472527472527475,0.4444444444444444,3.5833333333333335,43.0,0.7549019607843137,0.0,5.057653957435865
中島　卓也,日,0.637,0.022999999999999965,0.3222748815165877,0.7096774193548387,5.537634408602151,506.0,0.6388888888888888,0.0,4.050445810561223
中田　翔,日,0.818,0.21599999999999997,0.2828282828282828,0.5333333333333333,4.491666666666666,17.966666666666665,0.9313725490196079,1.935483870967742,6.79842320509534
田中　賢介,日,0.706,0.06800000000000006,0.31210191082802546,0.9827586206896551,9.172413793103448,133.0,0.7048346055979644,5.538461538461538,5.24090770550537
レアード,日,0.7889999999999999,0.257,0.23893805309734514,0.3333333333333333,3.86046511627907,14.647058823529411,0.8827930174563591,1.9428571428571428,5.813900601684713
西川　遥輝,日,0.759,0.11499999999999999,0.34513274336283184,0.6122448979591837,4.510204081632653,88.4,0.8902439024390244,8.571428571428571,6.4647360145045045
近藤　健介,日,0.8720000000000001,0.14100000000000001,0.35924932975871315,1.0,7.372881355932203,54.375,1.0230263157894737,6.857142857142857,8.347769230769226
陽　岱鋼,日,0.6639999999999999,0.09899999999999998,0.33070866141732286,0.22580645161290322,3.78494623655914,50.285714285714285,0.6816479400749064,9.333333333333334,4.613242757939392
岡　大海,日,0.635,0.1,0.296875,0.265625,4.046875,64.75,0.6889952153110048,6.545454545454546,3.999421706864559
杉谷　拳士,日,0.722,0.07200000000000006,0.34782608695652173,0.32142857142857145,5.928571428571429,166.0,0.688,1.7777777777777777,4.918654166666664
ハーミッダ,日,0.607,0.07799999999999996,0.3238095238095238,0.4,2.7666666666666666,166.0,0.631578947368421,1.0,3.9785808270676606
大野　奨太,日,0.518,0.05100000000000002,0.23809523809523808,0.5517241379310345,5.344827586206897,506.0,0.48854961832061067,0.0,2.245250599520386
鈴木　大地,マ,0.696,0.10299999999999998,0.2863849765258216,0.8103448275862069,8.39655172413793,81.16666666666667,0.6898395721925134,1.7142857142857142,4.652980394757784
清田　育宏,マ,0.89,0.186,0.36553524804177545,0.5806451612903226,5.258064516129032,32.6,1.0487106017191976,12.0,8.441945505022156
クルーズ,マ,0.69,0.14600000000000002,0.2641509433962264,0.36363636363636365,7.590909090909091,31.3125,0.7026315789473684,0.0,4.886315311004782
角中　勝也,マ,0.768,0.11200000000000004,0.32075471698113206,0.9038461538461539,8.211538461538462,71.16666666666667,0.8050314465408805,6.857142857142857,5.943742247327312
デスパイネ,マ,0.8140000000000001,0.20400000000000001,0.2931726907630522,0.550561797752809,3.966292134831461,19.61111111111111,0.9227941176470589,0.0,6.669151900422314
今江　敏晃,マ,0.6950000000000001,0.07800000000000001,0.31268436578171094,0.45714285714285713,10.657142857142857,373.0,0.6456140350877193,1.3333333333333333,4.457291027874561
田村　龍弘,マ,0.481,0.06,0.21008403361344538,0.4782608695652174,4.420289855072464,152.5,0.4573643410852713,2.4,2.017961315840248
荻野　貴司,マ,0.654,0.06800000000000006,0.30416666666666664,0.42105263157894735,7.342105263157895,139.5,0.6542056074766355,3.6,4.272178744798891
中村　奨吾,マ,0.61,0.101,0.2893401015228426,0.21739130434782608,3.898550724637681,53.8,0.5627906976744186,4.444444444444445,3.3103023056205
井口　資仁,マ,0.726,0.16299999999999998,0.32051282051282054,0.3230769230769231,3.4923076923076923,37.833333333333336,0.8057142857142857,1.7142857142857142,5.6315828571428534
岡田　幸文,マ,0.5700000000000001,0.04199999999999998,0.27710843373493976,0.36363636363636365,8.545454545454545,506.0,0.5416666666666666,0.0,3.3464939428202256
福浦　和也,マ,0.6910000000000001,0.05199999999999999,0.3284671532846715,0.5882352941176471,5.088235294117647,86.5,0.676923076923077,1.3333333333333333,4.914805720912248
根元　俊一,マ,0.6880000000000001,0.11700000000000005,0.3140495867768595,0.4878048780487805,3.975609756097561,81.5,0.7258064516129032,2.0,5.0644534592246035
秋山　翔吾,西,0.9410000000000001,0.16300000000000003,0.39453125,0.7692307692307693,7.717948717948718,43.0,1.0709046454767726,15.35483870967742,9.235264752791064
浅村　栄斗,西,0.7470000000000001,0.11499999999999999,0.3341772151898734,0.5073529411764706,3.948529411764706,41.30769230769231,0.785024154589372,12.48,5.565381519562921
栗山　巧,西,0.729,0.10299999999999998,0.30296127562642367,0.8181818181818182,6.056818181818182,53.3,0.7684729064039408,4.615384615384615,5.438883921291088
中村　剛也,西,0.9259999999999999,0.2809999999999999,0.34285714285714286,0.3953488372093023,3.0290697674418605,14.08108108108108,1.1314432989690721,1.9473684210526316,8.652214372632983
森　友哉,西,0.825,0.181,0.3753943217665615,0.3076923076923077,3.3146853146853146,27.88235294117647,0.9279538904899135,0.0,7.210902857142854
メヒア,西,0.778,0.23600000000000004,0.2847457627118644,0.29411764705882354,3.0915032679738563,17.51851851851852,0.8803191489361702,0.0,5.928250793650793
炭谷　銀仁朗,西,0.528,0.07,0.25806451612903225,0.1839080459770115,4.586206896551724,99.75,0.4720496894409938,0.0,2.411265060869793
脇谷　亮太,西,0.7630000000000001,0.10200000000000004,0.3548387096774194,0.574468085106383,5.0,78.33333333333333,0.8187134502923976,3.4285714285714284,6.142509803921573
渡辺　直人,西,0.6769999999999999,0.05699999999999994,0.3233082706766917,0.5384615384615384,6.076923076923077,506.0,0.6837606837606838,0.0,4.754378656914884
金子　侑司,西,0.579,0.08400000000000002,0.30357142857142855,0.23255813953488372,3.627906976744186,156.0,0.546875,1.8333333333333333,2.995610177865609
松井　稼頭央,楽,0.69,0.10999999999999999,0.29213483146067415,0.524390243902439,5.426829268292683,44.5,0.7323529411764705,11.666666666666666,4.990731976047894
ペーニャ,楽,0.844,0.17999999999999994,0.33093525179856115,0.6306306306306306,3.6576576576576576,23.88235294117647,0.9967213114754099,1.8888888888888888,7.716413954418234
藤田　一也,楽,0.675,0.07899999999999996,0.2774725274725275,0.9333333333333333,13.066666666666666,78.4,0.678082191780822,6.153846153846154,4.722501699926085
後藤　光尊,楽,0.611,0.10900000000000004,0.24722222222222223,0.25,8.604166666666666,45.888888888888886,0.5800604229607251,10.636363636363637,3.412238777908337
嶋　基宏,楽,0.625,0.068,0.2631578947368421,0.8695652173913043,4.898550724637682,84.5,0.6294964028776978,4.8,3.691216360432925
銀次,楽,0.707,0.046999999999999986,0.31333333333333335,1.5789473684210527,16.63157894736842,316.0,0.6899563318777293,1.7777777777777777,5.256033898305079
ウィーラー,楽,0.7919999999999999,0.19799999999999995,0.28,0.47619047619047616,4.349206349206349,19.571428571428573,0.8904761904761904,1.8666666666666667,6.374681186158484
聖澤　諒,楽,0.631,0.062,0.3403141361256545,0.3382352941176471,3.7941176470588234,506.0,0.6435643564356436,0.0,4.106122282608697
サンチェス,楽,0.72,0.166,0.24675324675324675,0.675,4.975,28.428571428571427,0.80625,4.2,5.367633461047248
福田　将儀,楽,0.5469999999999999,0.05399999999999999,0.2785714285714286,0.28888888888888886,4.111111111111111,185.0,0.45806451612903226,1.6666666666666667,2.362282229965159
中川　大志,楽,0.651,0.123,0.31451612903225806,0.2,3.1166666666666667,37.4,0.6466666666666666,2.857142857142857,3.92313934894346
西田　哲朗,楽,0.548,0.060000000000000026,0.2926829268292683,0.25,3.8181818181818183,168.0,0.460431654676259,1.3333333333333333,2.355055370858649
牧田　明久,楽,0.753,0.066,0.3333333333333333,1.0,10.785714285714286,151.0,0.7192982456140351,1.6,5.197884903429248
岡島　豪郎,楽,0.487,0.087,0.17886178861788618,0.8,9.133333333333333,137.0,0.5172413793103449,1.75,2.4306425171866772
安達　了一,オ,0.6579999999999999,0.10899999999999999,0.2552204176334107,0.7058823529411765,7.4411764705882355,46.0,0.635036496350365,13.037037037037036,3.816184380839519
糸井　嘉男,オ,0.7789999999999999,0.15099999999999997,0.28205128205128205,0.9230769230769231,6.205128205128205,28.470588235294116,0.8787061994609164,13.357142857142858,6.428261061946896
中島　裕之,オ,0.6990000000000001,0.11700000000000005,0.2857142857142857,0.5698924731182796,4.483870967741935,41.7,0.7355623100303952,1.8181818181818181,4.994521287408246
Ｔ−岡田,オ,0.741,0.14399999999999996,0.32450331125827814,0.2125,4.8625,35.36363636363637,0.7681660899653979,3.3846153846153846,5.574710521134156
駿太,オ,0.581,0.05299999999999999,0.2857142857142857,0.34782608695652173,4.840579710144928,167.0,0.5092936802973977,3.2,2.9400569713774947
伊藤　光,オ,0.6759999999999999,0.05699999999999994,0.3384615384615385,0.5471698113207547,4.660377358490566,247.0,0.654054054054054,0.0,4.554273772204808
カラバイヨ,オ,0.771,0.203,0.29333333333333333,0.2698412698412698,3.5238095238095237,18.5,0.8411764705882353,0.0,5.959810629285519
ヘルマン,オ,0.665,0.059,0.32222222222222224,0.6,5.525,221.0,0.7076023391812866,1.8888888888888888,4.668137486573571
西野　真弘,オ,0.7729999999999999,0.09899999999999998,0.3374233128834356,0.72,7.64,63.666666666666664,0.8518518518518519,4.5,6.787626606353451
小谷野　栄一,オ,0.758,0.11499999999999999,0.31446540880503143,0.5909090909090909,8.318181818181818,45.75,0.7518248175182481,0.0,5.369988268608411
ブランコ,オ,0.65,0.17,0.21904761904761905,0.39622641509433965,3.1132075471698113,18.333333333333332,0.6814814814814815,0.0,4.095836403661227
山崎　勝己,オ,0.54,0.03400000000000003,0.2564102564102564,0.41935483870967744,4.741935483870968,506.0,0.5083333333333333,0.0,2.633296048632214
縞田　拓弥,オ,0.649,0.13499999999999998,0.27450980392156865,0.4,4.433333333333334,66.5,0.7307692307692307,2.4,4.594902204836416
